,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
60,0.9955668,0.9967359,0.997332,0.9977166,0.997996,0.9982166,0.9983922,0.998539,0.9986622,0.9987675,0.9988618,0.9989468,0.999022,0.9990879,0.9991489,0.9992042,0.9992559,0.9993042,0.999347,0.9993888,0.9994286,0.9994652,0.9994982,0.9995298,0.9995609,0.9995909,0.9996197,0.999647,0.9996737,0.9997009,0.9997279,0.9997606,0.9998125,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,1.000053,1.0001013,1.0001325,1.0001589,1.0001858,1.0002117,1.0002391,1.0002674,1.0002974,1.0003281,1.0003592,1.0003922,1.0004287,1.0004676,1.0005086,1.0005522,1.0005998,1.0006524,1.0007073,1.0007681,1.0008336,1.0009068,1.0009914,1.001085,1.0011904,1.0013136,1.00146,1.0016348,1.0018527,1.0021348,1.002533,1.0031365,1.004322,1.1080292
300,0.9911588,0.9933708,0.9945142,0.9952728,0.995826,0.996254,0.996597,0.9968786,0.997117,0.9973305,0.997518,0.9976856,0.9978339,0.9979684,0.9980925,0.9982062,0.998312,0.9984116,0.998503,0.998589,0.9986675,0.9987435,0.9988145,0.998882,0.9989472,0.99901,0.9990684,0.9991233,0.999178,0.9992302,0.9992803,0.9993274,0.9993742,0.99942,0.999465,0.999506,0.9995481,0.9995898,0.9996314,0.9996726,0.9997157,0.9997727,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,1.0000661,1.0001346,1.000179,1.000221,1.0002624,1.0003046,1.000347,1.0003893,1.0004344,1.0004806,1.0005273,1.0005752,1.0006254,1.0006778,1.000732,1.000789,1.000848,1.0009108,1.0009764,1.0010442,1.001116,1.001189,1.0012696,1.0013564,1.001448,1.001545,1.0016499,1.0017648,1.0018902,1.0020252,1.0021756,1.002341,1.002527,1.0027394,1.0029792,1.0032652,1.0036155,1.0040445,1.0046134,1.0053816,1.006596,1.0089676,1.139658
900,0.9856395,0.989215,0.9910658,0.9922792,0.993165,0.993858,0.9944048,0.9948645,0.9952581,0.995604,0.995904,0.9961758,0.9964184,0.996633,0.9968368,0.9970194,0.9971899,0.997346,0.997494,0.9976332,0.9977629,0.9978852,0.9980022,0.998113,0.9982178,0.9983186,0.9984164,0.9985077,0.998598,0.9986835,0.9987646,0.9988443,0.9989222,0.999,0.9990728,0.999143,0.999213,0.9992816,0.999346,0.9994112,0.9994767,0.9995401,0.9996032,0.9996684,0.9997425,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,0.99993,1.0001045,1.0001806,1.0002459,1.0003114,1.000374,1.0004392,1.0005062,1.0005711,1.0006404,1.0007103,1.0007808,1.0008536,1.0009305,1.001008,1.001088,1.0011698,1.0012552,1.001345,1.001436,1.0015324,1.0016345,1.0017395,1.0018494,1.0019684,1.0020873,1.002215,1.0023532,1.0025016,1.002662,1.002831,1.0030125,1.003212,1.0034292,1.003672,1.0039485,1.0042585,1.0046097,1.0050127,1.0054884,1.006068,1.006783,1.007688,1.0089512,1.0109007,1.0148036,1.41729
3600,0.9756928,0.9817118,0.9848226,0.9868655,0.9883368,0.9895018,0.9904374,0.991205,0.991874,0.9924537,0.9929668,0.9934224,0.993833,0.99421,0.9945484,0.994862,0.9951537,0.995424,0.995677,0.9959148,0.9961428,0.9963605,0.996561,0.996751,0.9969312,0.9971028,0.9972708,0.9974304,0.9975856,0.9977352,0.9978768,0.9980164,0.998149,0.998277,0.9984036,0.9985242,0.9986448,0.9987606,0.9988744,0.9989905,0.999102,0.9992104,0.9993212,0.9994258,0.9995304,0.9996396,0.9997661,0.99993,0.99993,0.99993,0.99993,0.99993,1.0001529,1.0002637,1.0003704,1.0004751,1.0005784,1.0006856,1.0007938,1.0009035,1.001016,1.0011324,1.001248,1.0013646,1.0014889,1.001613,1.0017409,1.0018724,1.0020123,1.002152,1.002302,1.0024572,1.0026124,1.0027758,1.0029525,1.0031345,1.0033213,1.003524,1.0037401,1.00397,1.004208,1.004462,1.004736,1.0050339,1.0053552,1.0056994,1.0060812,1.006497,1.0069568,1.0074768,1.008074,1.0087557,1.0095578,1.0105208,1.0117098,1.01325,1.0153876,1.018741,1.025358,1.7929677
10800,0.9645123,0.9731754,0.9776412,0.980586,0.9827646,0.98446,0.98585,0.9870276,0.9880081,0.9888693,0.989634,0.9903325,0.9909579,0.991518,0.9920342,0.9925086,0.9929496,0.9933585,0.9937416,0.9941082,0.9944475,0.994773,0.9950831,0.9953674,0.9956439,0.995908,0.99616,0.9963972,0.9966264,0.9968468,0.9970572,0.9972611,0.9974548,0.9976453,0.997829,0.9980094,0.998179,0.9983445,0.9985092,0.998666,0.99882,0.9989705,0.9991224,0.9992744,0.9994168,0.9995644,0.9997168,0.99993,0.99993,0.99993,0.99993,1.0001867,1.0003361,1.0004808,1.0006266,1.0007762,1.0009254,1.0010746,1.001228,1.0013838,1.0015432,1.001706,1.0018776,1.0020498,1.0022292,1.002414,1.002607,1.0028039,1.0030062,1.0032192,1.00344,1.0036701,1.0039125,1.0041582,1.004415,1.0046964,1.0049845,1.0052884,1.0056068,1.0059423,1.006302,1.006692,1.007103,1.0075487,1.0080278,1.0085464,1.00911,1.0097376,1.0104341,1.0112231,1.012118,1.013125,1.014321,1.015778,1.0175828,1.0199064,1.0231586,1.028205,1.038187,1.5275571
86400,0.9277892,0.94568,0.9549604,0.9609061,0.9653357,0.968776,0.971443,0.9737031,0.975675,0.9774064,0.978906,0.9802625,0.9814955,0.9826292,0.9836506,0.9846004,0.9855034,0.986328,0.9871022,0.987825,0.9885124,0.9891556,0.989773,0.9903578,0.9909045,0.9914436,0.9919488,0.9924459,0.99291,0.9933598,0.9937966,0.9942163,0.994624,0.9950196,0.9954061,0.995781,0.996147,0.996498,0.996834,0.9971674,0.9974852,0.9978012,0.9981054,0.9984032,0.9986992,0.9989955,0.9992774,0.9995687,0.99993,0.99993,1.0002562,1.000549,1.0008368,1.0011288,1.0014228,1.001719,1.0020272,1.0023375,1.0026572,1.00299,1.0033284,1.003674,1.0040332,1.0044007,1.0047812,1.0051728,1.0055784,1.0059906,1.006426,1.0068768,1.0073415,1.0078211,1.008327,1.0088516,1.0094014,1.009962,1.0105626,1.0111902,1.0118446,1.0125374,1.0132874,1.0140911,1.0149278,1.0158212,1.0168098,1.017875,1.01904,1.0203076,1.0217264,1.02332,1.0251012,1.0271572,1.029626,1.0325396,1.0360914,1.0408294,1.0473951,1.0573084,1.076523,2.0613846
259200,0.890184,0.9166431,0.9305806,0.939726,0.946458,0.9516259,0.955862,0.9593925,0.9624268,0.9650656,0.9674048,0.9695136,0.9714236,0.9731396,0.9747333,0.976186,0.9775308,0.9787946,0.9799698,0.981082,0.9821484,0.9831264,0.9840607,0.984954,0.985815,0.9866317,0.9874315,0.9881868,0.9889208,0.9896268,0.9903114,0.9909693,0.9916196,0.9922392,0.9928362,0.993417,0.993993,0.9945435,0.9950869,0.9956265,0.9961652,0.9966652,0.9971624,0.9976572,0.9981338,0.998599,0.9990762,0.9995743,0.99993,1.0004023,1.0008968,1.0013728,1.0018548,1.002331,1.002822,1.0033276,1.0038369,1.0043517,1.004886,1.005423,1.0059843,1.006554,1.00713,1.007726,1.0083322,1.0089572,1.0096019,1.0102568,1.010928,1.0116396,1.0123636,1.0131215,1.0139172,1.0147332,1.015605,1.01649,1.017423,1.0183923,1.0194245,1.0204932,1.0216385,1.022862,1.0241498,1.025552,1.0270578,1.0286806,1.0304436,1.0324116,1.034601,1.0370271,1.0397833,1.042995,1.046723,1.0511908,1.0566966,1.0638216,1.0737044,1.08885,1.1187,3.0170217
604800,0.8337124,0.8721772,0.8925116,0.9060964,0.9158928,0.9235992,0.9298191,0.9350723,0.9397268,0.943755,0.9473304,0.950562,0.9534495,0.9561037,0.9585546,0.9608772,0.9630183,0.9649737,0.9668739,0.968617,0.9702804,0.9718552,0.973398,0.9748386,0.976232,0.9775461,0.9788376,0.9800776,0.9812887,0.9824421,0.9835556,0.98466,0.9857316,0.9868,0.9878361,0.9888438,0.9898209,0.990787,0.9917124,0.9926478,0.9935688,0.9944616,0.9953696,0.996254,0.9971292,0.998004,0.9988776,0.99993,1.0005375,1.0014284,1.002298,1.0031588,1.0040168,1.0049028,1.0057862,1.006668,1.0075428,1.008411,1.0093124,1.0102308,1.0111674,1.012116,1.013062,1.0140233,1.0149975,1.0159979,1.0170321,1.0180962,1.0191842,1.0202776,1.0214253,1.0226,1.0237902,1.0250243,1.0263305,1.0276914,1.0290948,1.0305706,1.0321348,1.0337545,1.0354352,1.0372491,1.0392378,1.041335,1.0435806,1.0459364,1.048556,1.0513996,1.0544942,1.058007,1.061946,1.066542,1.0719341,1.078346,1.086112,1.0962756,1.109886,1.1311252,1.1727707,3.0815858
2592000,0.6694747,0.7379605,0.7789194,0.8061233,0.826047,0.8416125,0.85464,0.8655594,0.87497,0.8832966,0.89093,0.8978696,0.9039936,0.9097107,0.914922,0.9197562,0.9242397,0.9285112,0.9324642,0.936242,0.9397908,0.9431922,0.9464514,0.9495786,0.9526224,0.9554856,0.9582457,0.9610014,0.9635839,0.966126,0.9685506,0.9708988,0.9732431,0.9755454,0.9777884,0.9799345,0.982052,0.984156,0.9862289,0.9882804,0.9903036,0.9923325,0.994315,0.99623,0.9981527,0.99993,1.0019544,1.0038519,1.0057386,1.0076124,1.0095056,1.0113744,1.0132574,1.0151718,1.0170636,1.0189476,1.0208806,1.0228386,1.0248168,1.0268084,1.0288024,1.030785,1.0328233,1.0348808,1.0370036,1.0391315,1.041222,1.043445,1.0456977,1.0480284,1.050369,1.0528003,1.0553337,1.057916,1.0606196,1.06341,1.0662636,1.0692135,1.0723044,1.0755388,1.079004,1.0826067,1.0864944,1.0905975,1.0949604,1.099722,1.10487,1.1105659,1.1169462,1.1238855,1.1317812,1.1405818,1.15097,1.1633772,1.1791454,1.1983164,1.223994,1.2673588,1.3539184,4.648652
7776000,0.494811,0.5802098,0.6343308,0.673898,0.705944,0.7329,0.7547208,0.7730625,0.788529,0.8022468,0.8144508,0.8259588,0.8364512,0.8454204,0.8541609,0.862044,0.8694052,0.8765886,0.883374,0.8894385,0.8956233,0.9015798,0.907032,0.9124296,0.9174392,0.9223245,0.9270857,0.931682,0.9360938,0.940455,0.9447542,0.9488451,0.952962,0.9569206,0.9607978,0.9646204,0.9683573,0.9720336,0.975828,0.979338,0.9827765,0.986351,0.9898932,0.9932402,0.996612,0.99993,1.0034292,1.006788,1.0102105,1.013454,1.0166649,1.0200452,1.0234252,1.0266952,1.0300506,1.0333325,1.0367,1.040116,1.0435008,1.0469175,1.0503648,1.053858,1.0573162,1.0608936,1.0644416,1.0681212,1.0717719,1.0755516,1.0792751,1.0831405,1.0870196,1.0910996,1.0952642,1.099645,1.1040624,1.1086865,1.1134287,1.11842,1.1233425,1.1286213,1.1342174,1.140084,1.1464732,1.1531428,1.1602308,1.1677557,1.1761815,1.1849412,1.19487,1.2053989,1.2172658,1.230958,1.2473189,1.2666986,1.2910611,1.3215425,1.360752,1.42431,1.5496804,6.657397
